uf,bolsonaro_votos_2018,pt_votos_2018,pt_pct_2018,bolsonaro_pct_2018,margem_pt_2018,bolsonaro_votos_2022,pt_votos_2022,pt_pct_2022,bolsonaro_pct_2022,margem_pt_2022,variacao_margem_pt,virou_a_favor_do_pt
ZZ,131671,53730,28.98,71.02,-42.04,145264,152905,51.28,48.72,2.56,44.6,True
SP,15306023,7212132,32.03,67.97,-35.94,14216587,11519882,44.76,55.24,-10.48,25.46,False
RJ,5669059,2673386,32.05,67.95,-35.9,5403894,4156217,43.47,56.53,-13.06,22.84,False
DF,1080411,463340,30.01,69.99,-39.98,1041331,729295,41.19,58.81,-17.62,22.36,False
MG,6100107,4382952,41.81,58.19,-16.38,6141310,6190960,50.2,49.8,0.4,16.78,True
AC,294899,86977,22.78,77.22,-54.44,287750,121566,29.7,70.3,-40.6,13.84,False
RS,3893737,2263171,36.76,63.24,-26.48,3733185,2891851,43.65,56.35,-12.7,13.78,False
GO,2124739,1118060,34.48,65.52,-31.04,2193041,1542115,41.29,58.71,-17.42,13.62,False
SC,2966242,940724,24.08,75.92,-51.84,3047630,1351918,30.73,69.27,-38.54,13.3,False
PR,4224416,1948790,31.57,68.43,-36.86,4159343,2506605,37.6,62.4,-24.8,12.06,False
MS,872049,465025,34.78,65.22,-30.44,880606,599547,40.51,59.49,-18.98,11.46,False
ES,1276611,747768,36.94,63.06,-26.12,1282145,926767,41.96,58.04,-16.08,10.04,False
RN,652562,1131027,63.41,36.59,26.82,711381,1326785,65.1,34.9,30.2,3.38,False
PB,782143,1451293,64.98,35.02,29.96,802502,1601953,66.62,33.38,33.24,3.28,False
RO,594968,229343,27.82,72.18,-44.36,633236,262904,29.34,70.66,-41.32,3.04,False
AM,885401,875845,49.73,50.27,-0.54,961741,1004991,51.1,48.9,2.2,2.74,True
MT,1085824,549001,33.58,66.42,-32.84,1216730,652786,34.92,65.08,-30.16,2.68,False
PE,1661163,3297944,66.5,33.5,33.0,1798832,3640933,66.93,33.07,33.86,0.86,False
TO,356684,371593,51.02,48.98,2.04,411654,434593,51.36,48.64,2.72,0.68,False
PA,1742188,2112769,54.81,45.19,9.62,2073895,2509084,54.75,45.25,9.5,-0.12,False
PI,422095,1417113,77.05,22.95,54.1,467065,1551383,76.86,23.14,53.72,-0.38,False
SE,364860,759061,67.54,32.46,35.08,421086,862951,67.21,32.79,34.42,-0.66,False
BA,2060382,5484901,72.69,27.31,45.38,2357028,6097815,72.12,27.88,44.24,-1.14,False
CE,1384591,3407526,71.11,28.89,42.22,1634477,3807891,69.97,30.03,39.94,-2.28,False
AP,185096,183616,49.8,50.2,-0.4,200547,189918,48.64,51.36,-2.72,-2.32,False
AL,610093,912034,59.92,40.08,19.84,687827,976831,58.68,41.32,17.36,-2.48,False
MA,886565,2428913,73.26,26.74,46.52,1082749,2668425,71.14,28.86,42.28,-4.24,False
RR,183268,72872,28.45,71.55,-43.1,213518,67128,23.92,76.08,-52.16,-9.06,False
